@relation CIRCLES
@attribute x real
@attribute y real
@attribute class {p,n}

@data
0.34164,0.46906,n
0.06222,0.45440,n
0.94795,0.81717,p
0.00362,0.34961,p
0.34633,0.50577,n
0.16098,0.37388,n
0.19012,0.44437,n
0.19675,0.59254,n
0.87322,0.72179,p
0.87897,0.14018,p
0.18178,0.56797,n
0.72902,0.39982,p
0.19535,0.56452,n
0.27847,0.46103,n
0.53919,0.67296,p
0.49889,0.46837,p
0.64303,0.54534,p
0.24538,0.55591,n
0.17217,0.36374,n
0.29161,0.60521,n
0.54834,0.28209,p
0.32365,0.50593,n
0.19145,0.56815,n
0.15921,0.63618,n
0.21980,0.97844,p
0.30263,0.00794,p
0.02688,0.16904,p
0.21424,0.55260,n
0.79483,0.31366,p
0.90474,0.37869,n
0.11548,0.61042,n
0.32899,0.49747,p
0.46027,0.50536,n
0.38431,0.67060,p
0.47617,0.53362,n
0.19077,0.60560,n
0.43336,0.35118,n
0.29054,0.89217,p
0.45888,0.41542,n
0.41495,0.62649,n
0.51216,0.47287,n
0.55399,0.15533,p
0.50616,0.42183,n
0.29494,0.37901,n
0.43511,0.32958,p
0.68377,0.34157,p
0.31225,0.32891,n
0.62279,0.53792,p
0.40577,0.30643,n
0.42034,0.62108,n
0.98702,0.46158,p
0.40897,0.74463,p
0.30534,0.17031,p
0.26976,0.60967,n
0.23211,0.56104,n
0.10639,0.39701,n
0.12820,0.39519,n
0.30374,0.42483,n
0.24539,0.55718,n
0.33866,0.78362,p
0.58414,0.10469,p
0.44861,0.98803,p
0.83479,0.70129,p
0.15703,0.37035,n
0.18460,0.41111,p
0.16297,0.63666,n
0.99453,0.73614,p
0.36836,0.40214,p
0.89533,0.66968,p
0.29425,0.50782,n
0.90508,0.11616,p
0.41660,0.88795,p
0.33709,0.48597,n
0.00856,0.98897,p
0.21440,0.36768,n
0.47055,0.33839,p
0.18120,0.87991,p
0.31537,0.49373,p
0.13903,0.39933,n
0.21502,0.43461,n
0.13957,0.50808,n
0.35629,0.27090,p
0.90900,0.65486,p
0.81971,0.24517,p
0.23981,0.56236,n
0.15866,0.77685,p
0.17561,0.58535,p
0.51312,0.42743,p
0.93578,0.72462,n
0.69061,0.65356,p
0.27807,0.41556,p
0.59497,0.98611,p
0.31832,0.53469,n
0.12918,0.53850,n
0.19707,0.35973,n
0.87749,0.98147,p
0.14940,0.58933,n
0.85096,0.27778,p
0.13325,0.44222,n
0.25331,0.55196,n
0.28876,0.49048,n
0.37138,0.39198,p
0.19524,0.18150,p
0.07406,0.42019,p
0.70162,0.80422,p
0.83217,0.56361,p
0.50110,0.47761,p
0.29375,0.42044,n
0.52640,0.46144,p
0.07421,0.19899,p
0.60786,0.61753,n
0.24350,0.39468,n
0.15198,0.98951,n
0.87914,0.00146,p
0.03119,0.37076,p
0.55390,0.87438,n
0.31758,0.60376,p
0.29229,0.54805,n
0.26468,0.37274,p
0.23056,0.10249,p
0.51133,0.12972,p
0.25212,0.42284,n
0.27088,0.61390,n
0.31144,0.51069,n
0.90109,0.53946,p
0.54193,0.43212,p
0.58084,0.47498,p
0.16359,0.36288,n
0.04929,0.36033,p
0.31609,0.48036,n
0.30621,0.48758,n
0.95081,0.29451,p
0.04860,0.43144,p
0.56554,0.57603,p
0.30816,0.55439,p
0.42741,0.45798,p
0.59204,0.78750,p
0.05379,0.46829,p
0.93047,0.46531,p
0.16419,0.54103,n
0.21612,0.45399,n
0.09325,0.40784,n
0.98719,0.75347,p
0.63776,0.70084,p
0.11984,0.58495,n
0.23502,0.49695,n
0.11015,0.40028,n
0.10480,0.71863,p
0.52273,0.65196,p
0.14272,0.37146,n
0.09687,0.53868,n
0.67402,0.94427,p
0.54490,0.41012,p
0.52335,0.47759,p
0.43786,0.06725,p
0.08751,0.51237,n
0.27677,0.62042,n
0.43789,0.26862,p
0.18259,0.50997,n
0.65869,0.75976,p
0.41379,0.68525,p
0.13470,0.57774,n
0.24249,0.57494,n
0.59475,0.89383,p
0.17113,0.62765,n
0.87666,0.24991,p
0.98828,0.63439,p
0.31079,0.99252,p
0.16499,0.55318,n
0.91425,0.85461,p
0.23090,0.52358,n
0.07691,0.45215,n
0.30423,0.24663,p
0.19307,0.19468,p
0.62318,0.68604,p
0.22741,0.47522,n
0.08471,0.53916,n
0.25894,0.54279,n
0.87377,0.53009,p
0.21886,0.39690,n
0.88026,0.72817,p
0.19072,0.52087,n
0.27669,0.58941,n
0.31093,0.53761,n
0.23198,0.39501,n
0.17423,0.00469,p
0.62008,0.16256,p
0.22211,0.93736,p
0.97126,0.43788,p
0.15206,0.38436,p
0.17258,0.09481,p
0.23315,0.61652,p
0.91176,0.71131,p
0.26402,0.38430,n
0.10539,0.39529,p
0.72663,0.31271,p
0.02655,0.70677,n
0.29041,0.77104,p
0.15959,0.63358,n
0.22347,0.64116,n
0.77848,0.50971,p
0.93891,0.36604,p
0.75947,0.21103,p
0.29533,0.51516,n
0.19907,0.20821,n
0.24204,0.34702,p
0.21925,0.42614,n
0.14221,0.66687,n
0.22304,0.47201,n
0.15272,0.58703,n
0.84222,0.47415,p
0.49375,0.41014,p
0.92065,0.90099,p
0.21495,0.30880,p
0.03618,0.29880,p
0.14904,0.38726,n
0.67335,0.94074,p
0.49488,0.16849,p
0.03957,0.58284,p
0.31697,0.52290,n
0.41552,0.10881,p
