@relation MIXED
@attribute v {False,True}
@attribute w {False,True}
@attribute x real
@attribute y real
@attribute class {p,n}

@data
True,True,0.040,0.965,p
True,True,0.358,0.892,p
False,False,0.720,0.399,n
False,False,0.917,0.222,p
False,True,0.091,0.993,n
True,False,0.301,0.291,p
True,False,0.964,0.603,n
True,False,0.596,0.385,n
False,False,0.923,0.842,n
True,True,0.522,0.236,n
True,False,0.243,0.731,n
True,False,0.221,0.647,p
True,True,0.180,0.504,p
False,False,0.967,0.058,n
False,False,0.342,0.251,n
True,False,0.013,0.681,n
True,True,0.389,0.658,p
False,True,0.742,0.336,n
True,True,0.590,0.892,p
False,True,0.388,0.414,n
True,True,0.710,0.674,p
True,True,0.003,0.014,p
True,True,0.689,0.182,p
False,False,0.041,0.681,n
True,True,0.938,0.910,p
False,True,0.333,0.790,n
False,True,0.779,0.036,p
True,False,0.857,0.729,p
True,True,0.836,0.299,p
False,True,0.335,0.687,n
False,False,0.627,0.376,n
True,False,0.098,0.556,n
True,False,0.431,0.359,n
False,False,0.903,0.452,p
False,True,0.398,0.207,p
True,True,0.834,0.998,p
False,False,0.010,0.706,n
True,True,0.035,0.148,p
False,True,0.583,0.718,n
True,True,0.862,0.801,p
False,False,0.747,0.906,n
False,True,0.535,0.599,n
False,False,0.741,0.302,n
False,False,0.239,0.729,n
True,False,0.942,0.481,p
True,True,0.459,0.101,p
False,False,0.032,0.617,n
False,False,0.610,0.467,n
True,True,0.945,0.146,n
True,False,0.936,0.416,p
True,True,0.723,0.079,p
True,True,0.130,0.967,p
False,False,0.316,0.243,n
False,True,0.372,0.663,n
False,True,0.078,0.073,n
True,False,0.591,0.298,p
False,True,0.633,0.637,n
True,False,0.372,0.952,n
False,False,0.797,0.277,n
False,True,0.928,0.185,n
False,False,0.960,0.340,n
True,False,0.424,0.751,n
True,False,0.121,0.884,n
False,False,0.257,0.526,n
True,True,0.102,0.253,p
True,True,0.292,0.372,p
True,True,0.218,0.489,p
True,True,0.652,0.060,n
True,False,0.887,0.216,p
True,False,0.846,0.979,n
True,False,0.447,0.709,n
True,False,0.209,0.187,p
True,True,0.807,0.390,p
False,True,0.940,0.587,p
True,False,0.234,0.085,p
True,True,0.411,0.054,p
True,True,0.490,0.704,p
True,False,0.044,0.163,n
True,True,0.255,0.522,n
True,True,0.255,0.344,p
True,True,0.047,0.809,n
True,True,0.440,0.086,p
True,False,0.128,0.871,n
False,False,0.733,0.249,n
True,False,0.675,0.703,n
True,True,0.234,0.629,p
True,False,0.812,0.877,p
False,False,0.510,0.076,n
True,False,0.235,0.132,p
True,True,0.608,0.133,p
True,True,0.546,0.704,p
False,True,0.137,0.402,p
True,True,0.384,0.059,p
False,True,0.022,0.628,n
False,False,0.045,0.226,n
True,True,0.010,0.891,n
False,False,0.501,0.622,n
False,False,0.330,0.840,n
False,False,0.957,0.896,n
True,False,0.615,0.040,p
True,True,0.027,0.932,p
False,True,0.293,0.151,p
True,False,0.735,0.405,p
True,True,0.015,0.530,p
True,False,0.773,0.570,n
False,True,0.395,0.120,p
True,False,0.763,0.516,p
True,True,0.209,0.566,n
True,True,0.626,0.323,p
True,True,0.987,0.001,p
False,True,0.126,0.929,n
False,False,0.659,0.157,n
False,True,0.755,0.266,p
False,False,0.750,0.155,n
False,False,0.362,0.982,n
True,False,0.573,0.237,p
False,False,0.081,0.865,n
True,False,0.069,0.717,n
True,False,0.315,0.841,n
False,True,0.705,0.716,n
False,False,0.823,0.691,n
False,True,0.202,0.261,p
True,False,0.476,0.556,p
True,True,0.336,0.378,p
True,True,0.563,0.804,p
True,False,0.358,0.123,p
False,True,0.456,0.554,n
False,False,0.909,0.626,n
False,False,0.175,0.921,n
False,True,0.463,0.877,n
False,False,0.025,0.323,n
False,False,0.047,0.926,n
True,True,0.711,0.923,n
True,False,0.533,0.073,p
False,True,0.240,0.481,p
False,True,0.877,0.276,p
False,False,0.713,0.027,n
True,True,0.433,0.105,n
True,False,0.170,0.474,p
True,False,0.196,0.957,n
True,False,0.682,0.269,p
False,True,0.134,0.110,p
False,True,0.577,0.464,n
True,True,0.900,0.623,p
True,False,0.912,0.985,n
True,True,0.965,0.996,p
False,False,0.148,0.583,n
False,False,0.596,0.603,n
True,True,0.318,0.676,p
True,True,0.667,0.812,n
False,False,0.781,0.508,p
False,False,0.879,0.517,n
False,True,0.708,0.405,p
False,True,0.171,0.441,n
True,False,0.644,0.405,p
True,False,0.302,0.609,n
False,True,0.069,0.068,p
True,False,0.266,0.230,p
False,False,0.007,0.862,n
True,False,0.739,0.964,n
False,False,0.288,0.199,n
True,False,0.446,0.344,n
True,True,0.465,0.462,n
False,True,0.093,0.200,p
False,True,0.067,0.177,p
False,False,0.928,0.382,n
True,False,0.381,0.765,n
True,False,0.583,0.704,n
False,True,0.207,0.976,p
True,False,0.421,0.500,n
True,True,0.224,0.241,n
True,True,0.141,0.441,p
True,False,0.969,0.522,p
True,False,0.946,0.155,p
False,True,0.390,0.188,p
False,True,0.047,0.948,n
True,False,0.634,0.618,n
False,False,0.954,0.394,n
True,False,0.892,0.704,p
False,False,0.854,0.585,p
True,False,0.633,0.961,n
True,True,0.380,0.537,p
True,False,0.204,0.617,p
False,False,0.767,0.239,p
True,False,0.383,0.746,p
True,False,0.824,0.264,p
True,True,0.319,0.729,p
False,False,0.434,0.664,n
True,True,0.384,0.344,p
True,False,0.745,0.542,p
False,False,0.908,0.820,n
True,True,0.138,0.996,p
True,False,0.252,0.104,p
False,True,0.201,0.698,p
False,False,0.466,0.314,n
True,True,0.872,0.782,n
True,False,0.080,0.979,n
True,False,0.297,0.628,p
False,True,0.317,0.548,n
False,True,0.597,0.786,p
True,True,0.582,0.253,p
True,True,0.708,0.424,p
False,True,0.098,0.183,p
False,True,0.015,0.754,n
True,False,0.249,0.221,p
True,False,0.186,0.983,n
False,False,0.864,0.722,p
False,False,0.758,0.129,n
False,False,0.524,0.774,n
True,False,0.127,0.086,p
True,True,0.674,0.985,p
False,False,0.858,0.762,n
False,False,0.693,0.249,n
False,False,0.479,0.734,n
False,True,0.339,0.301,p
True,True,0.349,0.638,n
False,False,0.856,0.979,n
True,True,0.009,0.991,p
False,False,0.608,0.928,n
True,False,0.871,0.384,p
True,False,0.796,0.496,p
False,False,0.502,0.419,n
True,False,0.714,0.339,p
True,True,0.977,0.609,p
False,True,0.804,0.160,p
True,True,0.608,0.421,p
True,False,0.686,0.813,n
True,True,0.405,0.978,n
False,False,0.589,0.168,n
False,True,0.288,0.253,p
False,False,0.523,0.778,n
True,False,0.773,0.833,n
False,True,0.006,0.821,n
True,False,0.086,0.207,p
True,True,0.536,0.084,n
False,False,0.644,0.829,n
True,False,0.879,0.143,p
True,True,0.591,0.319,p
False,False,0.519,0.112,n
False,True,0.040,0.366,n
True,True,0.756,0.882,p
False,True,0.743,0.887,p
False,False,0.761,0.480,n
False,True,0.695,0.685,p
False,False,0.707,0.999,n
False,True,0.315,0.328,p
False,True,0.963,0.536,p
False,False,0.894,0.447,n
False,False,0.600,0.605,n
False,True,0.905,0.294,p
False,True,0.844,0.315,p
False,False,0.604,0.164,n
True,True,0.054,0.915,p
False,True,0.983,0.763,p
False,False,0.506,0.018,n
True,False,0.901,0.235,p
False,True,0.091,0.588,p
True,True,0.145,0.616,p
False,True,0.792,0.736,p
False,False,0.824,0.740,n
False,False,0.457,0.664,n
True,False,0.941,0.637,p
False,False,0.350,0.272,n
True,False,0.286,0.392,p
False,False,0.517,0.138,n
True,False,0.423,0.896,n
False,True,0.833,0.390,p
False,True,0.617,0.516,n
True,True,0.070,0.829,p
False,False,0.218,0.091,n
False,False,0.604,0.550,n
True,False,0.351,0.980,n
False,False,0.975,0.441,n
True,True,0.392,0.738,p
True,False,0.116,0.321,p
True,True,0.651,0.738,p
False,False,0.830,0.489,n
False,False,0.876,0.429,n
False,False,0.139,0.916,n
True,False,0.101,0.246,p
False,False,0.861,0.684,n
False,True,0.650,0.628,n
False,False,0.144,0.601,n
False,False,0.848,0.811,n
False,False,0.106,0.095,n
True,True,0.992,0.708,p
True,False,0.347,0.254,p
False,True,0.653,0.212,p
True,False,0.298,0.445,p
True,False,0.632,0.771,n
False,False,0.267,0.840,p
True,False,0.485,0.471,n
False,True,0.268,0.874,n
False,True,0.262,0.707,n
False,True,0.310,0.622,n
False,True,0.761,0.912,n
True,False,0.096,0.950,n
True,True,0.237,0.637,p
False,False,0.921,0.111,n
False,True,0.645,0.505,n
True,False,0.425,0.806,n
False,False,0.900,0.324,n
False,True,0.474,0.788,n
False,False,0.982,0.459,n
False,False,0.816,0.951,n
False,False,0.492,0.892,n
True,True,0.012,0.567,p
False,False,0.719,0.693,n
False,False,0.086,0.379,n
False,True,0.485,0.401,p
True,True,0.714,0.974,p
True,False,0.377,0.625,n
True,True,0.180,0.397,p
False,False,0.794,0.091,n
False,False,0.470,0.081,n
False,False,0.948,0.561,n
False,True,0.433,0.115,p
True,False,0.540,0.138,p
True,False,0.081,0.507,p
False,False,0.729,0.995,n
False,True,0.850,0.967,n
True,True,0.505,0.021,p
True,False,0.652,0.137,n
True,True,0.667,0.276,p
False,False,0.172,0.657,n
False,True,0.321,0.635,n
True,False,0.996,0.649,n
False,True,0.227,0.988,n
False,True,0.369,0.951,n
False,False,0.497,0.872,n
False,True,0.234,0.549,p
False,False,0.643,0.753,n
False,True,0.413,0.392,n
False,True,0.381,0.445,n
False,True,0.063,0.933,n
False,True,0.176,0.257,p
True,True,0.538,0.424,p
True,True,0.257,0.722,p
False,False,0.414,0.086,n
True,True,0.524,0.556,p
False,True,0.629,0.983,n
False,False,0.361,0.511,n
True,False,0.307,0.130,p
False,True,0.195,0.027,p
False,False,0.629,0.563,p
False,True,0.357,0.131,p
True,False,0.330,0.882,n
True,True,0.887,0.145,p
False,True,0.628,0.192,p
True,False,0.162,0.976,n
False,False,0.379,0.759,n
True,True,0.856,0.864,p
True,False,0.170,0.558,p
False,False,0.713,0.895,n
False,True,0.608,0.094,p
True,False,0.647,0.404,p
False,False,0.825,0.086,n
True,True,0.869,0.659,p
True,True,0.459,0.056,n
True,False,0.999,0.992,n
True,True,0.210,0.720,n
True,True,0.883,0.777,p
False,False,0.841,0.714,n
False,False,0.477,0.951,n
False,False,0.078,0.932,n
False,False,0.661,0.121,n
True,False,0.116,0.939,n
False,True,0.366,0.096,p
False,True,0.603,0.095,p
False,True,0.276,0.676,n
False,True,0.987,0.336,p
False,True,0.012,0.189,p
False,True,0.926,0.589,p
False,False,0.735,1.000,n
True,False,0.609,0.907,n
False,False,0.421,0.757,n
True,False,0.813,0.093,n
False,False,0.478,0.904,n
True,True,0.909,0.750,p
True,False,0.522,0.596,n
True,True,0.214,0.971,p
False,False,0.726,0.281,n
False,True,0.028,0.952,n
False,True,0.776,0.214,p
True,False,0.150,0.846,n
False,True,0.656,0.894,p
True,True,0.821,0.300,p
True,False,0.432,0.821,n
False,False,0.669,0.798,n
False,True,0.384,0.175,p
False,False,0.866,0.395,n
False,True,0.026,0.319,p
True,True,0.733,0.794,p
False,True,0.276,0.945,n
False,True,0.162,0.380,p
True,False,0.560,0.443,n
True,True,0.224,0.729,p
True,False,0.044,0.216,p
True,False,0.241,0.831,n
False,True,0.122,0.984,p
True,True,0.027,0.534,p
True,False,0.254,0.709,n
False,False,0.500,0.422,n
False,False,0.798,0.287,p
True,False,0.486,0.294,n
True,False,0.792,0.140,p
True,True,0.822,0.312,p
True,True,0.227,0.776,n
True,True,0.511,0.432,p
False,False,0.972,0.181,n
False,False,0.735,0.892,n
False,True,0.523,0.698,n
True,True,0.881,0.091,p
False,False,0.656,0.556,n
True,False,0.160,0.913,n
False,False,0.865,0.167,n
False,True,0.255,0.566,p
True,True,0.985,0.769,p
True,True,0.650,0.395,p
True,False,0.127,0.299,p
True,False,0.458,0.567,n
True,False,0.809,0.841,p
True,False,0.557,0.571,n
False,False,0.310,0.463,p
False,False,0.551,0.454,n
False,True,0.360,0.862,n
True,False,0.541,0.303,n
True,False,0.359,0.616,n
True,True,0.002,0.158,p
True,True,0.212,0.176,p
True,True,0.231,0.740,p
True,False,0.524,0.878,n
False,False,0.030,0.733,n
True,True,0.172,0.361,p
True,True,0.626,0.229,p
False,False,0.997,0.599,n
True,True,0.019,0.288,p
False,False,0.588,0.010,n
True,False,0.409,0.361,n
False,True,0.582,0.560,n
True,True,0.360,0.317,p
True,True,0.869,0.352,p
False,True,0.409,0.918,p
False,False,0.996,0.289,n
True,False,0.871,0.613,n
False,True,0.176,0.863,n
True,False,0.504,0.449,n
False,False,0.852,0.609,n
False,False,0.901,0.390,n
True,True,0.893,0.823,p
False,False,0.744,0.396,n
True,True,0.798,0.290,p
False,False,0.497,0.942,n
False,False,0.105,0.998,n
True,False,0.414,0.334,n
True,False,0.961,0.938,n
False,False,0.425,0.950,n
False,False,0.009,0.386,n
False,False,0.919,0.637,n
True,False,0.103,0.726,p
False,True,0.435,0.857,n
False,True,0.419,0.787,n
False,True,0.851,0.635,p
False,True,0.432,0.101,p
True,False,0.130,0.138,p
False,True,0.102,0.451,p
True,True,0.786,0.191,n
True,False,0.131,0.597,p
True,False,0.798,0.609,p
True,False,0.306,0.869,n
False,True,0.225,0.579,p
False,True,0.927,0.752,n
True,False,0.900,0.382,p
True,True,0.795,0.044,p
False,True,0.654,0.674,n
True,True,0.101,0.181,p
False,False,0.231,0.918,n
