@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
4.425,4.564,7.244,p
4.983,1.597,3.715,p
6.611,2.864,5.587,n
1.877,7.404,3.255,n
4.914,2.505,2.976,p
8.136,8.512,9.519,n
6.914,0.622,2.897,p
7.585,8.990,8.559,n
1.528,5.197,5.481,p
7.972,1.065,9.845,n
0.504,0.137,3.460,p
0.828,6.214,8.766,p
9.169,3.598,7.664,n
3.451,4.606,0.885,n
0.817,5.294,5.634,p
3.586,0.298,8.330,p
3.823,2.972,0.857,p
2.228,5.400,5.280,p
7.316,9.220,3.478,n
3.794,7.345,2.065,n
1.209,3.171,3.079,p
6.505,0.999,1.427,p
0.520,5.855,8.704,p
4.473,8.326,6.570,n
6.146,1.947,4.446,n
0.293,7.874,6.789,p
1.515,1.337,3.238,p
2.960,8.531,0.690,n
0.036,3.803,3.464,p
0.047,4.589,1.419,n
4.207,3.384,9.495,p
1.278,8.144,2.975,p
4.942,6.937,2.303,n
5.984,5.453,7.044,p
1.412,6.569,9.944,p
8.458,5.795,9.849,n
0.109,5.429,5.370,p
7.963,8.503,5.682,n
0.915,1.346,6.492,p
3.406,1.767,8.225,p
0.154,1.767,8.185,p
5.268,3.219,1.248,n
2.731,0.180,1.816,p
6.822,3.891,7.863,n
9.962,7.014,5.706,p
1.524,4.645,3.293,p
4.041,8.658,5.578,n
2.935,4.235,1.421,p
5.243,2.464,2.247,p
2.364,7.833,9.599,n
2.580,0.244,6.464,p
1.383,1.251,2.591,p
8.289,3.978,4.011,n
6.488,4.383,6.865,n
2.251,4.122,5.604,p
9.069,9.177,2.752,n
1.595,7.660,8.830,n
5.712,1.763,2.506,p
2.176,5.695,7.578,p
6.816,7.172,3.480,n
1.648,7.299,0.407,n
8.079,6.284,2.675,n
9.594,1.391,7.758,n
6.597,7.004,4.451,n
1.648,3.255,1.263,n
9.089,9.594,1.192,n
4.082,1.181,2.955,p
7.496,0.040,1.898,p
2.732,5.857,2.509,n
6.835,7.911,8.087,n
5.454,4.908,8.557,n
2.039,0.039,2.776,p
5.982,8.817,8.294,n
1.703,6.200,5.310,p
3.594,0.035,3.892,p
4.053,8.612,5.844,n
8.979,7.488,4.927,n
5.442,1.521,8.330,n
4.845,4.671,0.454,n
7.447,4.226,3.552,n
4.019,6.889,6.050,n
2.089,2.077,8.860,p
5.610,1.724,7.898,p
8.667,3.296,2.223,n
7.067,8.438,0.305,n
6.225,3.165,4.318,n
5.266,1.386,1.381,n
1.064,3.970,4.924,p
8.889,2.166,0.347,p
7.039,8.149,9.641,n
3.424,8.379,1.181,p
0.952,3.997,4.950,p
1.686,2.317,8.201,p
5.799,2.119,7.149,p
3.795,1.300,4.629,p
1.174,0.910,0.276,p
6.375,7.446,6.868,n
6.630,3.897,6.311,n
6.416,2.431,0.602,n
5.905,3.496,6.054,n
5.222,0.608,3.532,p
1.994,8.801,4.241,n
7.135,7.433,7.211,n
2.516,9.764,1.510,p
4.433,1.282,3.952,p
7.076,8.823,0.246,n
5.841,1.047,6.526,p
4.486,9.880,7.194,n
7.013,5.356,8.968,n
0.436,8.149,6.511,n
3.137,2.983,3.526,n
1.678,1.484,6.872,p
7.280,0.501,0.992,n
1.200,3.027,8.872,p
7.469,9.708,5.430,n
5.514,5.256,5.420,p
3.365,4.561,1.165,p
3.545,4.152,0.182,p
0.914,1.295,9.665,n
2.292,0.261,2.532,p
9.522,3.991,7.235,n
5.345,3.467,9.461,n
6.716,1.186,2.653,p
7.864,6.768,0.872,n
3.897,6.687,2.942,n
1.953,5.608,5.985,p
4.138,2.798,6.954,p
2.671,2.144,3.677,p
3.384,6.057,1.812,n
3.300,1.279,1.401,p
5.631,6.848,2.262,n
1.994,5.676,8.843,p
9.850,3.411,6.011,n
5.184,0.231,3.298,p
3.170,2.693,0.498,n
6.384,2.421,6.796,n
3.524,8.036,6.412,n
0.539,5.085,1.751,n
