[Name, Avg. Error-rate, Drift Detector Stats, Avg. Total Memory, Avg. Total Runtime, Avg. Score]
NAIVE BAYES + ADWIN:	40.9	[250, [0, 0], 1, 1]	1531.79	1427.68	0.43
PERCEPTRON + ADWIN:	44.71	[250, [0, 0], 2, 1]	99.52	218.4	0.56
HOEFFDING TREE + ADWIN:	36.32	[250, [0, 0], 1, 1]	7007.34	4347.22	0.29
NAIVE BAYES + BWAF:	41.4	[80, [1081, 1], 1, 0]	1524.55	994.75	0.57
PERCEPTRON + BWAF:	42.8	[96, [1097, 1], 0, 0]	94.26	259.01	0.7
HOEFFDING TREE + BWAF:	41.4	[80, [1081, 1], 1, 0]	1718.79	2104.7	0.51
NAIVE BAYES + CDDM:	43.01	[4, [1005, 1], 84, 0]	1520.86	28.21	0.5
PERCEPTRON + CDDM:	44.879999999999995	[5, [1006, 1], 97, 0]	94.54	5.6	0.58
HOEFFDING TREE + CDDM:	43.01	[4, [1005, 1], 84, 0]	1536.7	56.52	0.49
NAIVE BAYES + CUSUM:	39.629999999999995	[250, [0, 0], 1, 1]	1526.11	1153.8	0.45
PERCEPTRON + CUSUM:	39.72	[250, [0, 0], 0, 1]	94.06	430.51	0.59
HOEFFDING TREE + CUSUM:	37.14	[250, [0, 0], 0, 1]	7001.39	4049.67	0.3
NAIVE BAYES + DDM:	39.81	[250, [0, 0], 1, 1]	1525.39	1010.35	0.45
PERCEPTRON + DDM:	39.77	[250, [0, 0], 0, 1]	94.08	426.36	0.59
HOEFFDING TREE + DDM:	37.14	[250, [0, 0], 0, 1]	7001.41	4008.75	0.3
NAIVE BAYES + EDDM:	40.550000000000004	[250, [0, 0], 3, 1]	1524.77	866.74	0.45
PERCEPTRON + EDDM:	39.589999999999996	[250, [0, 0], 0, 1]	94.58	419.31	0.59
HOEFFDING TREE + EDDM:	38.41	[250, [0, 0], 1, 1]	7000.89	3505.77	0.32
NAIVE BAYES + EWMA:	43.68	[10, [1011, 1], 2, 0]	1524.14	602.91	0.6
PERCEPTRON + EWMA:	43.169999999999995	[12, [1013, 1], 0, 0]	94.2	213.31	0.73
HOEFFDING TREE + EWMA:	43.68	[10, [1011, 1], 2, 0]	1539.67	1325.62	0.56
NAIVE BAYES + FHDDM:	43.64	[73, [1074, 1], 5, 0]	1523.14	391.48	0.58
PERCEPTRON + FHDDM:	47.910000000000004	[250, [0, 0], 4, 1]	94.8	113.46	0.54
HOEFFDING TREE + FHDDM:	46.089999999999996	[250, [0, 0], 5, 1]	1538.12	718.34	0.41
NAIVE BAYES + FHDDMS:	46.11	[10, [1011, 1], 9, 0]	1522.55	230.98	0.59
PERCEPTRON + FHDDMS:	48.809999999999995	[44, [1045, 1], 5, 0]	95.04	69.95	0.68
