[Name, Avg. Error-rate, Drift Detector Stats, Avg. Total Memory, Avg. Total Runtime, Avg. Score]
NAIVE BAYES + ADWIN:	53.690000000000005	[60, [311, 1], 0, 0]	1524.29	286.11	0.44
PERCEPTRON + ADWIN:	56.910000000000004	[250, [0, 0], 0, 1]	97.64	110.95	0.54
HOEFFDING TREE + ADWIN:	53.959999999999994	[75, [326, 1], 0, 0]	1539.44	603.56	0.37
NAIVE BAYES + BWAF:	56.269999999999996	[87, [338, 1], 0, 0]	1520.74	282.53	0.42
PERCEPTRON + BWAF:	56.39999999999999	[250, [0, 0], 0, 1]	93.77	127.85	0.54
HOEFFDING TREE + BWAF:	56.269999999999996	[87, [338, 1], 0, 0]	1536.06	596.84	0.35
NAIVE BAYES + CDDM:	56.99999999999999	[250, [0, 0], 0, 1]	1524.13	473.69	0.32
PERCEPTRON + CDDM:	55.13	[250, [0, 0], 0, 1]	96.61	110.24	0.55
HOEFFDING TREE + CDDM:	56.99999999999999	[250, [0, 0], 0, 1]	1539.44	1029.14	0.23
NAIVE BAYES + CUSUM:	56.99999999999999	[250, [0, 0], 0, 1]	1521.19	466.57	0.32
PERCEPTRON + CUSUM:	57.79	[250, [0, 0], 0, 1]	93.68	104.22	0.54
HOEFFDING TREE + CUSUM:	56.99999999999999	[250, [0, 0], 0, 1]	1536.51	1016.86	0.23
NAIVE BAYES + DDM:	55.2	[187, [438, 1], 0, 0]	1521.21	368.5	0.36
PERCEPTRON + DDM:	57.52	[250, [0, 0], 0, 1]	93.72	103.67	0.53
HOEFFDING TREE + DDM:	55.2	[187, [438, 1], 0, 0]	1536.53	795.99	0.28
NAIVE BAYES + EDDM:	53.33	[68, [319, 1], 0, 0]	1521.1	249.75	0.45
PERCEPTRON + EDDM:	58.42	[16, [267, 1], 0, 0]	94.06	51.39	0.67
HOEFFDING TREE + EDDM:	53.33	[68, [319, 1], 0, 0]	1536.42	528.83	0.39
NAIVE BAYES + EWMA:	56.99999999999999	[250, [0, 0], 0, 1]	1521.23	464.85	0.31
PERCEPTRON + EWMA:	58.24	[250, [0, 0], 0, 1]	93.74	105.18	0.53
HOEFFDING TREE + EWMA:	56.99999999999999	[250, [0, 0], 0, 1]	1536.55	1017.45	0.23
NAIVE BAYES + FHDDM:	56.43	[250, [0, 0], 2, 1]	1521.93	223.36	0.24
PERCEPTRON + FHDDM:	58.730000000000004	[20, [271, 1], 0, 0]	94.24	51.39	0.67
HOEFFDING TREE + FHDDM:	57.099999999999994	[250, [0, 0], 1, 1]	1536.73	497.18	0.27
