Experiment,Parameter,Outcome,Memory,Runtime,Detection delay,TP,FP,FN
ADWIN,0.0,,6600.0,85.14804000151344,55.0,1.0,0.0,0.0
BWAF,0.0,,1024.0,117.69354900025064,5.0,1.0,2.0,0.0
CDDM,0.0,,8944.0,109.76818099879893,255.0,0.0,0.0,1.0
CUSUM,0.0,,880.0,37.95207700022729,255.0,0.0,1.0,1.0
DDM,0.0,,904.0,38.37011799987522,255.0,0.0,1.0,1.0
EDDM,0.0,,1440.0,35.28213599929586,213.0,1.0,2.0,0.0
EWMA,0.0,,960.0,41.1261920016841,1.0,1.0,2.0,0.0
FHDDM,0.0,,1744.0,37.83857099915622,255.0,0.0,0.0,1.0
FHDDMS,0.0,,1920.0,54.676708998158574,220.0,1.0,0.0,0.0
FHDDMS.add,0.0,,1224.0,40.743853998719715,174.0,1.0,0.0,0.0
HDDM.A.test,0.0,,1296.0,49.51871299999766,133.0,1.0,0.0,0.0
HDDM.W.test,0.0,,2520.0,52.67536300016218,255.0,0.0,0.0,1.0
MDDM.A.100,0.0,,1976.0,89.0131090018258,255.0,0.0,1.0,1.0
MDDM.E.100,0.0,,1968.0,64.920404998702,243.0,1.0,0.0,0.0
MDDM.G.100,0.0,,1400.0,69.50468699869816,255.0,0.0,1.0,1.0
NO_DETECTION,0.0,,320.0,45.6208739997237,255.0,0.0,0.0,1.0
PageHinkley,0.0,,960.0,43.74530700079049,255.0,0.0,1.0,1.0
RDDM,0.0,,63992.0,40.508834998036036,255.0,0.0,1.0,1.0
SeqDrift2,0.0,,30272.0,45.84557999987737,199.0,1.0,0.0,0.0
ADWIN,0.0,,6624.0,66.01682800101116,55.0,1.0,0.0,0.0
BWAF,0.0,,1024.0,101.5878590005741,4.0,1.0,1.0,0.0
CDDM,0.0,,8944.0,94.67583700097748,255.0,0.0,0.0,1.0
CUSUM,0.0,,880.0,36.18864500094787,255.0,0.0,1.0,1.0
DDM,0.0,,904.0,37.11523300080444,6.0,1.0,1.0,0.0
EDDM,0.0,,1440.0,35.42760300115333,180.0,1.0,0.0,0.0
EWMA,0.0,,960.0,39.71946100136847,255.0,0.0,1.0,1.0
FHDDM,0.0,,1744.0,36.32648200073163,241.0,1.0,0.0,0.0
FHDDMS,0.0,,1920.0,51.435205998132005,255.0,0.0,1.0,1.0
FHDDMS.add,0.0,,1224.0,39.61405099835247,255.0,0.0,1.0,1.0
HDDM.A.test,0.0,,1296.0,49.64446399753797,69.0,1.0,0.0,0.0
HDDM.W.test,0.0,,2520.0,52.634045998274814,255.0,0.0,0.0,1.0
MDDM.A.100,0.0,,1976.0,89.54052999979467,255.0,0.0,1.0,1.0
MDDM.E.100,0.0,,1968.0,80.6183000022429,255.0,0.0,1.0,1.0
MDDM.G.100,0.0,,1968.0,82.19688299868722,255.0,0.0,1.0,1.0
NO_DETECTION,0.0,,320.0,49.274496999714756,255.0,0.0,0.0,1.0
PageHinkley,0.0,,960.0,36.26948800229002,255.0,0.0,1.0,1.0
RDDM,0.0,,64024.0,41.246640001190826,7.0,1.0,1.0,0.0
SeqDrift2,0.0,,30272.0,48.08993499682401,199.0,1.0,0.0,0.0
ADWIN,0.0,,6600.0,65.38625599932857,119.0,1.0,0.0,0.0
BWAF,0.0,,1024.0,99.3157289994997,3.0,1.0,0.0,0.0
CDDM,0.0,,8944.0,94.75872199982405,255.0,0.0,0.0,1.0
CUSUM,0.0,,880.0,37.45057600099244,255.0,0.0,1.0,1.0
DDM,0.0,,904.0,44.84678999870084,7.0,1.0,0.0,0.0
EDDM,0.0,,1440.0,34.39851100119995,197.0,1.0,2.0,0.0
EWMA,0.0,,960.0,41.07542500059935,3.0,1.0,4.0,0.0
FHDDM,0.0,,1744.0,36.09703799884301,255.0,0.0,1.0,1.0
FHDDMS,0.0,,1920.0,51.325293999980204,255.0,0.0,1.0,1.0
FHDDMS.add,0.0,,1224.0,39.85307000039029,255.0,0.0,0.0,1.0
HDDM.A.test,0.0,,1296.0,49.492881000333,64.0,1.0,0.0,0.0
HDDM.W.test,0.0,,2520.0,53.52708699865616,255.0,0.0,0.0,1.0
MDDM.A.100,0.0,,1976.0,90.87822999936179,183.0,1.0,0.0,0.0
MDDM.E.100,0.0,,1968.0,69.31202499981737,255.0,0.0,1.0,1.0
MDDM.G.100,0.0,,1968.0,67.64332599777845,162.0,1.0,0.0,0.0
NO_DETECTION,0.0,,320.0,33.01947900035884,255.0,0.0,0.0,1.0
PageHinkley,0.0,,960.0,35.457974998280406,255.0,0.0,1.0,1.0
RDDM,0.0,,64024.0,40.01990799952182,3.0,1.0,0.0,0.0
SeqDrift2,0.0,,30272.0,45.99788800260285,199.0,1.0,0.0,0.0
ADWIN,0.0,,6568.0,66.19385600060923,87.0,1.0,0.0,0.0
BWAF,0.0,,1024.0,111.42086100153392,3.0,1.0,0.0,0.0
CDDM,0.0,,8944.0,104.6032970007218,255.0,0.0,0.0,1.0
CUSUM,0.0,,880.0,37.62522000033641,255.0,0.0,1.0,1.0
DDM,0.0,,904.0,38.26108800058137,2.0,1.0,0.0,0.0
EDDM,0.0,,1472.0,33.93453000171576,141.0,1.0,3.0,0.0
EWMA,0.0,,960.0,40.55571999924723,1.0,1.0,3.0,0.0
FHDDM,0.0,,1744.0,37.02915599933476,255.0,0.0,0.0,1.0
FHDDMS,0.0,,1920.0,49.71223299799021,255.0,0.0,1.0,1.0
FHDDMS.add,0.0,,1224.0,40.32300299877534,255.0,0.0,1.0,1.0
HDDM.A.test,0.0,,1296.0,48.714327000197954,56.0,1.0,0.0,0.0
HDDM.W.test,0.0,,2520.0,53.667414002120495,177.0,1.0,0.0,0.0
MDDM.A.100,0.0,,1976.0,94.95305200107396,91.0,1.0,0.0,0.0
MDDM.E.100,0.0,,1968.0,65.3488899988588,255.0,0.0,1.0,1.0
MDDM.G.100,0.0,,1968.0,73.1818040003418,255.0,0.0,0.0,1.0
NO_DETECTION,0.0,,320.0,33.03687999868998,255.0,0.0,0.0,1.0
PageHinkley,0.0,,960.0,35.39148399795522,255.0,0.0,1.0,1.0
RDDM,0.0,,64024.0,40.29072299817926,1.0,1.0,0.0,0.0
SeqDrift2,0.0,,30272.0,45.85492499973043,199.0,1.0,0.0,0.0
ADWIN,0.0,,6600.0,66.384013996867,55.0,1.0,0.0,0.0
BWAF,0.0,,1024.0,98.55595600311062,6.0,1.0,3.0,0.0
CDDM,0.0,,8944.0,93.32089399686083,255.0,0.0,0.0,1.0
CUSUM,0.0,,880.0,36.76758500296273,255.0,0.0,1.0,1.0
