Experiment,Memory,Runtime,Detection delay,TP,FP,FN,Parameter
ADWIN,6656.0,83.93505799904233,,0.0,1.0,0.0,0.0
BWAF,1024.0,107.59709000194562,,0.0,2.0,0.0,0.0
CDDM,8944.0,100.32502000103705,,0.0,0.0,0.0,0.0
CUSUM,880.0,38.973275000898866,,0.0,1.0,0.0,0.0
DDM,904.0,37.546714000200154,,0.0,1.0,0.0,0.0
EDDM,1440.0,34.737748002953595,,0.0,6.0,0.0,0.0
EWMA,960.0,40.48231399792712,,0.0,2.0,0.0,0.0
FHDDM,1744.0,36.13640200273949,,0.0,0.0,0.0,0.0
FHDDMS,1920.0,50.875452001491794,,0.0,1.0,0.0,0.0
FHDDMS.add,1224.0,42.834415999095654,,0.0,0.0,0.0,0.0
HDDM.A.test,1296.0,48.739124002167955,,0.0,1.0,0.0,0.0
HDDM.W.test,2520.0,53.185770000709454,,0.0,0.0,0.0,0.0
MDDM.A.100,1976.0,90.93791100167437,,0.0,1.0,0.0,0.0
MDDM.E.100,1968.0,66.47950299884542,,0.0,1.0,0.0,0.0
MDDM.G.100,1968.0,67.83779800025513,,0.0,1.0,0.0,0.0
NO_DETECTION,320.0,33.18214699902455,,0.0,0.0,0.0,0.0
PageHinkley,960.0,35.474253996653715,,0.0,1.0,0.0,0.0
RDDM,64024.0,52.8338599979179,,0.0,1.0,0.0,0.0
SeqDrift2,30272.0,59.147675998246996,,0.0,1.0,0.0,0.0
ADWIN,6600.0,65.47562199921231,,0.0,1.0,0.0,0.0
BWAF,1024.0,100.14303000207292,,0.0,2.0,0.0,0.0
CDDM,8944.0,93.71887000088464,,0.0,0.0,0.0,0.0
CUSUM,880.0,36.868788996798685,,0.0,1.0,0.0,0.0
DDM,904.0,36.93011900031706,,0.0,1.0,0.0,0.0
EDDM,1472.0,34.02759000164224,,0.0,5.0,0.0,0.0
EWMA,960.0,41.149280998070026,,0.0,5.0,0.0,0.0
FHDDM,1744.0,41.40084400205524,,0.0,1.0,0.0,0.0
FHDDMS,1920.0,51.70883200116805,,0.0,1.0,0.0,0.0
FHDDMS.add,1224.0,40.0995400013926,,0.0,1.0,0.0,0.0
HDDM.A.test,1296.0,49.81556799975806,,0.0,1.0,0.0,0.0
HDDM.W.test,2520.0,54.557169998588506,,0.0,0.0,0.0,0.0
MDDM.A.100,1976.0,88.6416140019719,,0.0,1.0,0.0,0.0
MDDM.E.100,1968.0,67.1927829971537,,0.0,1.0,0.0,0.0
