Experiment,Parameter,Outcome,Memory,Runtime,Detection delay,TP,FP,FN
CDDM + NB,0.0,,8944,62.462181000228156,,0,0,1
HDDM_A_test + NB,0.0,,1264,26.83626500038372,,0,0,1
RDDM + NB,0.0,,64024,21.916468999734207,,0,1,1
CDDM + NB,0.0,,8944,48.58771599992906,,0,0,1
HDDM_A_test + NB,0.0,,1264,28.458854000746214,,0,0,1
RDDM + NB,0.0,,63976,21.77168999969581,,0,1,1
CDDM + NB,0.0,,8944,52.1172500002649,,0,0,1
HDDM_A_test + NB,0.0,,1296,27.632727000309387,,0,0,1
RDDM + NB,0.0,,64024,23.169215000052645,,0,1,1
CDDM + NB,0.0,,8944,65.00921400038351,,0,0,1
HDDM_A_test + NB,0.0,,1264,29.790062999381917,,0,0,1
RDDM + NB,0.0,,64024,22.883673000251292,,0,2,1
CDDM + NB,0.0,,8944,54.080647999398934,,0,0,1
HDDM_A_test + NB,0.0,,1264,28.190755000650825,,0,0,1
RDDM + NB,0.0,,64024,22.898815000189643,,0,1,1
CDDM + NB,0.0,,8944,52.1850799996173,,0,0,1
HDDM_A_test + NB,0.0,,1296,27.84224599963636,,0,0,1
RDDM + NB,0.0,,63992,25.85508700030914,,0,0,1
CDDM + NB,0.0,,8944,67.63546500042139,,0,0,1
HDDM_A_test + NB,0.0,,1296,26.934042999528174,,0,0,1
RDDM + NB,0.0,,63992,21.617135000269627,,0,0,1
CDDM + NB,0.0,,8944,49.76093799996306,,0,0,1
HDDM_A_test + NB,0.0,,1296,27.106475999971735,,0,0,1
RDDM + NB,0.0,,64056,22.589545999835536,,0,0,1
CDDM + NB,0.0,,8944,49.49836199921265,,0,0,1
HDDM_A_test + NB,0.0,,1296,27.67609900001844,,0,0,1
RDDM + NB,0.0,,63976,24.51849399949424,,0,1,1
CDDM + NB,0.0,,8944,52.28911900030653,,0,0,1
HDDM_A_test + NB,0.0,,1296,33.18690600008267,,0,0,1
RDDM + NB,0.0,,64024,29.42670199990971,,0,1,1
CDDM + NB,0.0,,8944,65.96881200039206,,0,0,1
HDDM_A_test + NB,0.0,,1296,27.69319799972436,,0,0,1
RDDM + NB,0.0,,64024,22.91503099968395,,0,1,1
CDDM + NB,0.0,,8944,52.09983800068585,,0,0,1
HDDM_A_test + NB,0.0,,1296,27.01125099974888,,0,0,1
RDDM + NB,0.0,,63992,21.904741000071226,,0,0,1
CDDM + NB,0.0,,8944,49.49371699967742,,0,0,1
HDDM_A_test + NB,0.0,,1296,26.748115999907895,,0,0,1
RDDM + NB,0.0,,64024,23.551773000690446,,0,2,1
CDDM + NB,0.0,,8944,56.3574059997336,,0,0,1
HDDM_A_test + NB,0.0,,1296,27.487104999636358,,0,0,1
RDDM + NB,0.0,,64056,23.25992399983079,,0,0,1
CDDM + NB,0.0,,8944,52.52631399980601,,0,0,1
HDDM_A_test + NB,0.0,,1264,28.198775999953796,,0,0,1
RDDM + NB,0.0,,64024,23.081631999957608,,0,1,1
CDDM + NB,0.0,,8944,52.02473800000007,,0,0,1
